Fecha,Equipo,Consumo_kWh,Horas_Operativas,Fallas_Detectadas
2026-04-27,Motor_Principal,483,21,0
2026-04-27,Compresor_A,411,14,0
2026-04-27,Bomba_Agua,127,24,0
2026-04-27,Ventilador_Norte,124,24,0
2026-04-27,Generador_Respaldo,72,2,0
2026-04-27,Banda_Transportadora,218,14,0
2026-04-28,Motor_Principal,497,19,0
2026-04-28,Compresor_A,282,20,0
2026-04-28,Bomba_Agua,124,22,0
2026-04-28,Ventilador_Norte,88,23,0
2026-04-28,Generador_Respaldo,76,5,0
2026-04-28,Banda_Transportadora,204,13,0
2026-04-29,Motor_Principal,382,24,0
2026-04-29,Compresor_A,342,16,3
2026-04-29,Bomba_Agua,133,24,0
2026-04-29,Ventilador_Norte,96,24,0
2026-04-29,Generador_Respaldo,90,2,0
2026-04-29,Banda_Transportadora,208,16,0
2026-04-30,Motor_Principal,518,17,0
2026-04-30,Compresor_A,284,17,0
2026-04-30,Bomba_Agua,157,24,0
2026-04-30,Ventilador_Norte,118,24,0
2026-04-30,Generador_Respaldo,90,4,0
2026-04-30,Banda_Transportadora,215,14,0
2026-05-01,Motor_Principal,445,21,0
2026-05-01,Compresor_A,324,20,0
2026-05-01,Bomba_Agua,178,21,0
2026-05-01,Ventilador_Norte,112,24,0
2026-05-01,Generador_Respaldo,75,2,0
2026-05-01,Banda_Transportadora,183,16,0
2026-05-02,Motor_Principal,443,19,0
2026-05-02,Compresor_A,337,20,0
2026-05-02,Bomba_Agua,142,24,0
2026-05-02,Ventilador_Norte,100,20,0
2026-05-02,Generador_Respaldo,85,6,0
2026-05-02,Banda_Transportadora,199,18,2
2026-05-03,Motor_Principal,533,20,0
2026-05-03,Compresor_A,314,17,0
2026-05-03,Bomba_Agua,154,24,0
2026-05-03,Ventilador_Norte,105,24,0
2026-05-03,Generador_Respaldo,79,3,3
2026-05-03,Banda_Transportadora,233,18,0
2026-05-04,Motor_Principal,526,22,0
2026-05-04,Compresor_A,372,17,3
2026-05-04,Bomba_Agua,162,23,0
2026-05-04,Ventilador_Norte,98,24,0
2026-05-04,Generador_Respaldo,89,1,1
2026-05-04,Banda_Transportadora,215,20,0
2026-05-05,Motor_Principal,464,18,0
2026-05-05,Compresor_A,307,17,0
2026-05-05,Bomba_Agua,139,24,0
2026-05-05,Ventilador_Norte,103,24,0
2026-05-05,Generador_Respaldo,99,5,0
2026-05-05,Banda_Transportadora,186,17,0
2026-05-06,Motor_Principal,410,22,0
2026-05-06,Compresor_A,315,19,0
2026-05-06,Bomba_Agua,157,24,0
2026-05-06,Ventilador_Norte,118,20,0
2026-05-06,Generador_Respaldo,88,3,0
2026-05-06,Banda_Transportadora,191,12,0
2026-05-07,Motor_Principal,506,20,0
2026-05-07,Compresor_A,324,15,1
2026-05-07,Bomba_Agua,137,24,0
2026-05-07,Ventilador_Norte,94,22,0
2026-05-07,Generador_Respaldo,88,1,0
2026-05-07,Banda_Transportadora,224,18,0
2026-05-08,Motor_Principal,442,22,0
2026-05-08,Compresor_A,330,17,1
2026-05-08,Bomba_Agua,163,22,0
2026-05-08,Ventilador_Norte,116,22,0
2026-05-08,Generador_Respaldo,84,2,0
2026-05-08,Banda_Transportadora,182,12,0
2026-05-09,Motor_Principal,432,19,0
2026-05-09,Compresor_A,305,18,2
2026-05-09,Bomba_Agua,166,24,0
2026-05-09,Ventilador_Norte,127,24,0
2026-05-09,Generador_Respaldo,91,2,0
2026-05-09,Banda_Transportadora,203,16,0
2026-05-10,Motor_Principal,525,20,0
2026-05-10,Compresor_A,329,18,0
2026-05-10,Bomba_Agua,123,24,0
2026-05-10,Ventilador_Norte,113,24,0
2026-05-10,Generador_Respaldo,95,7,0
2026-05-10,Banda_Transportadora,218,13,0
2026-05-11,Motor_Principal,499,18,0
2026-05-11,Compresor_A,338,19,0
2026-05-11,Bomba_Agua,150,22,0
2026-05-11,Ventilador_Norte,97,22,0
2026-05-11,Generador_Respaldo,100,4,0
2026-05-11,Banda_Transportadora,213,17,0
2026-05-12,Motor_Principal,494,19,0
2026-05-12,Compresor_A,326,18,2
2026-05-12,Bomba_Agua,166,20,0
2026-05-12,Ventilador_Norte,136,22,0
2026-05-12,Generador_Respaldo,75,5,0
2026-05-12,Banda_Transportadora,190,13,0
2026-05-13,Motor_Principal,522,20,0
2026-05-13,Compresor_A,326,17,3
2026-05-13,Bomba_Agua,139,24,0
2026-05-13,Ventilador_Norte,113,24,0
2026-05-13,Generador_Respaldo,80,4,2
2026-05-13,Banda_Transportadora,192,15,0
2026-05-14,Motor_Principal,415,21,0
2026-05-14,Compresor_A,278,16,0
2026-05-14,Bomba_Agua,143,24,0
2026-05-14,Ventilador_Norte,102,20,0
2026-05-14,Generador_Respaldo,87,2,0
2026-05-14,Banda_Transportadora,236,17,0
2026-05-15,Motor_Principal,432,24,0
2026-05-15,Compresor_A,308,20,0
2026-05-15,Bomba_Agua,135,22,0
2026-05-15,Ventilador_Norte,103,23,0
2026-05-15,Generador_Respaldo,87,2,0
2026-05-15,Banda_Transportadora,243,13,0
2026-05-16,Motor_Principal,447,23,0
2026-05-16,Compresor_A,306,16,1
2026-05-16,Bomba_Agua,123,23,0
2026-05-16,Ventilador_Norte,113,24,0
2026-05-16,Generador_Respaldo,82,1,0
2026-05-16,Banda_Transportadora,218,17,2
2026-05-17,Motor_Principal,457,24,0
2026-05-17,Compresor_A,282,19,0
2026-05-17,Bomba_Agua,143,18,0
2026-05-17,Ventilador_Norte,116,24,0
2026-05-17,Generador_Respaldo,91,4,0
2026-05-17,Banda_Transportadora,218,18,3
2026-05-18,Motor_Principal,425,24,0
2026-05-18,Compresor_A,317,14,0
2026-05-18,Bomba_Agua,146,23,0
2026-05-18,Ventilador_Norte,106,22,0
2026-05-18,Generador_Respaldo,75,4,0
2026-05-18,Banda_Transportadora,240,19,0
2026-05-19,Motor_Principal,422,23,1
2026-05-19,Compresor_A,316,19,0
2026-05-19,Bomba_Agua,153,23,0
2026-05-19,Ventilador_Norte,102,24,0
2026-05-19,Generador_Respaldo,63,4,0
2026-05-19,Banda_Transportadora,244,16,0
2026-05-20,Motor_Principal,442,20,0
2026-05-20,Compresor_A,308,17,0
2026-05-20,Bomba_Agua,151,21,0
2026-05-20,Ventilador_Norte,108,23,0
2026-05-20,Generador_Respaldo,93,4,0
2026-05-20,Banda_Transportadora,207,14,0
2026-05-21,Motor_Principal,455,24,0
2026-05-21,Compresor_A,300,18,0
2026-05-21,Bomba_Agua,135,23,0
2026-05-21,Ventilador_Norte,106,24,0
2026-05-21,Generador_Respaldo,79,5,0
2026-05-21,Banda_Transportadora,212,14,0
2026-05-22,Motor_Principal,519,24,0
2026-05-22,Compresor_A,271,18,0
2026-05-22,Bomba_Agua,143,23,0
2026-05-22,Ventilador_Norte,110,22,0
2026-05-22,Generador_Respaldo,81,2,3
2026-05-22,Banda_Transportadora,196,12,0
2026-05-23,Motor_Principal,457,24,0
2026-05-23,Compresor_A,334,17,3
2026-05-23,Bomba_Agua,143,24,0
2026-05-23,Ventilador_Norte,110,24,0
2026-05-23,Generador_Respaldo,86,3,0
2026-05-23,Banda_Transportadora,207,13,0
2026-05-24,Motor_Principal,495,21,0
2026-05-24,Compresor_A,294,17,0
2026-05-24,Bomba_Agua,159,24,0
2026-05-24,Ventilador_Norte,104,24,0
2026-05-24,Generador_Respaldo,86,2,0
2026-05-24,Banda_Transportadora,211,16,0
2026-05-25,Motor_Principal,429,24,0
2026-05-25,Compresor_A,259,18,0
2026-05-25,Bomba_Agua,174,24,0
2026-05-25,Ventilador_Norte,90,22,0
2026-05-25,Generador_Respaldo,85,3,0
2026-05-25,Banda_Transportadora,220,15,1
2026-05-26,Motor_Principal,512,22,0
2026-05-26,Compresor_A,294,19,0
2026-05-26,Bomba_Agua,140,24,0
2026-05-26,Ventilador_Norte,120,23,0
2026-05-26,Generador_Respaldo,98,8,0
2026-05-26,Banda_Transportadora,177,15,0
2026-05-27,Motor_Principal,462,18,0
2026-05-27,Compresor_A,262,16,0
2026-05-27,Bomba_Agua,150,24,0
2026-05-27,Ventilador_Norte,134,22,0
2026-05-27,Generador_Respaldo,91,1,0
2026-05-27,Banda_Transportadora,218,12,0
2026-05-28,Motor_Principal,480,21,0
2026-05-28,Compresor_A,338,14,0
2026-05-28,Bomba_Agua,169,24,0
2026-05-28,Ventilador_Norte,110,22,0
2026-05-28,Generador_Respaldo,94,4,0
2026-05-28,Banda_Transportadora,207,14,3
2026-05-29,Motor_Principal,388,20,0
2026-05-29,Compresor_A,351,18,2
2026-05-29,Bomba_Agua,176,21,0
2026-05-29,Ventilador_Norte,111,24,0
2026-05-29,Generador_Respaldo,88,6,0
2026-05-29,Banda_Transportadora,201,14,0
2026-05-30,Motor_Principal,466,22,0
2026-05-30,Compresor_A,323,24,3
2026-05-30,Bomba_Agua,138,24,0
2026-05-30,Ventilador_Norte,121,24,0
2026-05-30,Generador_Respaldo,87,4,0
2026-05-30,Banda_Transportadora,199,18,0
2026-05-31,Motor_Principal,502,22,0
2026-05-31,Compresor_A,305,19,0
2026-05-31,Bomba_Agua,134,23,0
2026-05-31,Ventilador_Norte,109,21,0
2026-05-31,Generador_Respaldo,90,4,0
2026-05-31,Banda_Transportadora,217,11,0
2026-06-01,Motor_Principal,412,24,0
2026-06-01,Compresor_A,394,20,2
2026-06-01,Bomba_Agua,158,24,0
2026-06-01,Ventilador_Norte,115,24,0
2026-06-01,Generador_Respaldo,93,5,0
2026-06-01,Banda_Transportadora,197,17,0
2026-06-02,Motor_Principal,473,24,0
2026-06-02,Compresor_A,327,17,0
2026-06-02,Bomba_Agua,174,22,0
2026-06-02,Ventilador_Norte,116,24,0
2026-06-02,Generador_Respaldo,77,2,0
2026-06-02,Banda_Transportadora,199,16,0
2026-06-03,Motor_Principal,552,22,0
2026-06-03,Compresor_A,318,15,0
2026-06-03,Bomba_Agua,163,24,0
2026-06-03,Ventilador_Norte,115,23,0
2026-06-03,Generador_Respaldo,95,0,0
2026-06-03,Banda_Transportadora,202,15,0
2026-06-04,Motor_Principal,415,18,0
2026-06-04,Compresor_A,345,16,0
2026-06-04,Bomba_Agua,172,21,0
2026-06-04,Ventilador_Norte,120,24,0
2026-06-04,Generador_Respaldo,84,3,0
2026-06-04,Banda_Transportadora,218,15,0
2026-06-05,Motor_Principal,393,23,0
2026-06-05,Compresor_A,281,19,0
2026-06-05,Bomba_Agua,152,23,0
2026-06-05,Ventilador_Norte,116,24,0
2026-06-05,Generador_Respaldo,91,3,0
2026-06-05,Banda_Transportadora,188,17,0
2026-06-06,Motor_Principal,363,19,0
2026-06-06,Compresor_A,273,21,0
2026-06-06,Bomba_Agua,167,24,0
2026-06-06,Ventilador_Norte,123,21,0
2026-06-06,Generador_Respaldo,65,1,0
2026-06-06,Banda_Transportadora,241,14,0
2026-06-07,Motor_Principal,468,23,0
2026-06-07,Compresor_A,362,16,0
2026-06-07,Bomba_Agua,145,21,0
2026-06-07,Ventilador_Norte,106,23,0
2026-06-07,Generador_Respaldo,69,3,0
2026-06-07,Banda_Transportadora,193,12,0
2026-06-08,Motor_Principal,460,21,0
2026-06-08,Compresor_A,365,20,0
2026-06-08,Bomba_Agua,154,22,0
2026-06-08,Ventilador_Norte,103,24,0
2026-06-08,Generador_Respaldo,80,7,0
2026-06-08,Banda_Transportadora,220,15,0
2026-06-09,Motor_Principal,424,18,0
2026-06-09,Compresor_A,312,18,0
2026-06-09,Bomba_Agua,104,22,0
2026-06-09,Ventilador_Norte,118,24,0
2026-06-09,Generador_Respaldo,76,4,0
2026-06-09,Banda_Transportadora,211,13,0
2026-06-10,Motor_Principal,436,18,0
2026-06-10,Compresor_A,286,21,0
2026-06-10,Bomba_Agua,154,24,0
2026-06-10,Ventilador_Norte,119,21,0
2026-06-10,Generador_Respaldo,94,5,0
2026-06-10,Banda_Transportadora,264,14,0
2026-06-11,Motor_Principal,429,17,0
2026-06-11,Compresor_A,307,12,0
2026-06-11,Bomba_Agua,119,24,0
2026-06-11,Ventilador_Norte,112,23,0
2026-06-11,Generador_Respaldo,80,6,0
2026-06-11,Banda_Transportadora,230,10,0
2026-06-12,Motor_Principal,441,23,0
2026-06-12,Compresor_A,275,20,3
2026-06-12,Bomba_Agua,159,24,0
2026-06-12,Ventilador_Norte,95,22,0
2026-06-12,Generador_Respaldo,109,2,0
2026-06-12,Banda_Transportadora,205,16,0
2026-06-13,Motor_Principal,453,24,0
2026-06-13,Compresor_A,330,19,0
2026-06-13,Bomba_Agua,179,21,0
2026-06-13,Ventilador_Norte,120,22,0
2026-06-13,Generador_Respaldo,88,4,1
2026-06-13,Banda_Transportadora,220,15,0
2026-06-14,Motor_Principal,470,22,0
2026-06-14,Compresor_A,329,15,0
2026-06-14,Bomba_Agua,168,24,0
2026-06-14,Ventilador_Norte,105,23,0
2026-06-14,Generador_Respaldo,93,7,0
2026-06-14,Banda_Transportadora,187,14,0
2026-06-15,Motor_Principal,484,22,0
2026-06-15,Compresor_A,329,19,0
2026-06-15,Bomba_Agua,156,24,0
2026-06-15,Ventilador_Norte,113,24,0
2026-06-15,Generador_Respaldo,78,6,0
2026-06-15,Banda_Transportadora,175,19,2
2026-06-16,Motor_Principal,408,24,0
2026-06-16,Compresor_A,314,16,0
2026-06-16,Bomba_Agua,116,24,0
2026-06-16,Ventilador_Norte,122,22,0
2026-06-16,Generador_Respaldo,78,6,0
2026-06-16,Banda_Transportadora,219,17,0
2026-06-17,Motor_Principal,374,23,0
2026-06-17,Compresor_A,308,21,0
2026-06-17,Bomba_Agua,163,24,0
2026-06-17,Ventilador_Norte,108,24,0
2026-06-17,Generador_Respaldo,88,4,3
2026-06-17,Banda_Transportadora,241,16,0
2026-06-18,Motor_Principal,447,23,0
2026-06-18,Compresor_A,323,16,0
2026-06-18,Bomba_Agua,151,24,0
2026-06-18,Ventilador_Norte,104,24,0
2026-06-18,Generador_Respaldo,69,4,0
2026-06-18,Banda_Transportadora,224,14,0
2026-06-19,Motor_Principal,527,20,0
2026-06-19,Compresor_A,362,16,2
2026-06-19,Bomba_Agua,154,21,0
2026-06-19,Ventilador_Norte,113,24,0
2026-06-19,Generador_Respaldo,77,3,0
2026-06-19,Banda_Transportadora,196,15,0
2026-06-20,Motor_Principal,423,24,0
2026-06-20,Compresor_A,351,18,0
2026-06-20,Bomba_Agua,166,24,0
2026-06-20,Ventilador_Norte,120,24,0
2026-06-20,Generador_Respaldo,87,3,0
2026-06-20,Banda_Transportadora,217,13,0
2026-06-21,Motor_Principal,460,22,0
2026-06-21,Compresor_A,319,15,1
2026-06-21,Bomba_Agua,154,23,0
2026-06-21,Ventilador_Norte,135,24,0
2026-06-21,Generador_Respaldo,81,4,0
2026-06-21,Banda_Transportadora,210,16,0
2026-06-22,Motor_Principal,398,20,0
2026-06-22,Compresor_A,341,15,0
2026-06-22,Bomba_Agua,135,23,0
2026-06-22,Ventilador_Norte,110,24,0
2026-06-22,Generador_Respaldo,86,2,1
2026-06-22,Banda_Transportadora,240,16,0
2026-06-23,Motor_Principal,395,20,0
2026-06-23,Compresor_A,302,18,0
2026-06-23,Bomba_Agua,132,24,0
2026-06-23,Ventilador_Norte,93,23,0
2026-06-23,Generador_Respaldo,90,5,0
2026-06-23,Banda_Transportadora,192,16,0
2026-06-24,Motor_Principal,406,23,0
2026-06-24,Compresor_A,303,17,0
2026-06-24,Bomba_Agua,144,24,0
2026-06-24,Ventilador_Norte,109,22,0
2026-06-24,Generador_Respaldo,80,6,0
2026-06-24,Banda_Transportadora,170,15,0
2026-06-25,Motor_Principal,422,21,0
2026-06-25,Compresor_A,358,18,0
2026-06-25,Bomba_Agua,160,23,0
2026-06-25,Ventilador_Norte,115,23,0
2026-06-25,Generador_Respaldo,88,4,0
2026-06-25,Banda_Transportadora,210,14,0
2026-06-26,Motor_Principal,449,24,3
2026-06-26,Compresor_A,292,18,0
2026-06-26,Bomba_Agua,137,23,0
2026-06-26,Ventilador_Norte,110,22,0
2026-06-26,Generador_Respaldo,91,6,0
2026-06-26,Banda_Transportadora,165,16,0
2026-06-27,Motor_Principal,474,21,0
2026-06-27,Compresor_A,358,16,0
2026-06-27,Bomba_Agua,149,19,0
2026-06-27,Ventilador_Norte,118,24,0
2026-06-27,Generador_Respaldo,73,0,0
2026-06-27,Banda_Transportadora,212,15,0
2026-06-28,Motor_Principal,442,20,0
2026-06-28,Compresor_A,347,12,0
2026-06-28,Bomba_Agua,168,24,2
2026-06-28,Ventilador_Norte,87,24,0
2026-06-28,Generador_Respaldo,82,3,0
2026-06-28,Banda_Transportadora,211,16,0
2026-06-29,Motor_Principal,454,23,0
2026-06-29,Compresor_A,331,17,1
2026-06-29,Bomba_Agua,145,21,0
2026-06-29,Ventilador_Norte,112,23,0
2026-06-29,Generador_Respaldo,80,6,0
2026-06-29,Banda_Transportadora,249,14,0
2026-06-30,Motor_Principal,448,21,0
2026-06-30,Compresor_A,306,16,0
2026-06-30,Bomba_Agua,149,23,0
2026-06-30,Ventilador_Norte,92,24,0
2026-06-30,Generador_Respaldo,92,4,0
2026-06-30,Banda_Transportadora,166,16,0
2026-07-01,Motor_Principal,449,21,0
2026-07-01,Compresor_A,343,16,0
2026-07-01,Bomba_Agua,145,24,0
2026-07-01,Ventilador_Norte,103,22,0
2026-07-01,Generador_Respaldo,92,7,0
2026-07-01,Banda_Transportadora,244,12,0
2026-07-02,Motor_Principal,430,20,0
2026-07-02,Compresor_A,345,18,0
2026-07-02,Bomba_Agua,146,24,0
2026-07-02,Ventilador_Norte,115,21,0
2026-07-02,Generador_Respaldo,88,2,0
2026-07-02,Banda_Transportadora,197,14,0
2026-07-03,Motor_Principal,431,19,0
2026-07-03,Compresor_A,315,16,0
2026-07-03,Bomba_Agua,169,24,0
2026-07-03,Ventilador_Norte,117,22,0
2026-07-03,Generador_Respaldo,87,2,0
2026-07-03,Banda_Transportadora,201,17,0
2026-07-04,Motor_Principal,362,24,0
2026-07-04,Compresor_A,319,19,0
2026-07-04,Bomba_Agua,125,24,0
2026-07-04,Ventilador_Norte,101,22,0
2026-07-04,Generador_Respaldo,79,3,0
2026-07-04,Banda_Transportadora,215,13,0
2026-07-05,Motor_Principal,469,23,0
2026-07-05,Compresor_A,311,15,0
2026-07-05,Bomba_Agua,160,23,0
2026-07-05,Ventilador_Norte,111,23,0
2026-07-05,Generador_Respaldo,84,5,0
2026-07-05,Banda_Transportadora,220,13,0
2026-07-06,Motor_Principal,446,22,0
2026-07-06,Compresor_A,318,12,0
2026-07-06,Bomba_Agua,154,24,0
2026-07-06,Ventilador_Norte,106,22,0
2026-07-06,Generador_Respaldo,93,1,0
2026-07-06,Banda_Transportadora,184,13,0
2026-07-07,Motor_Principal,396,24,0
2026-07-07,Compresor_A,355,16,0
2026-07-07,Bomba_Agua,140,24,0
2026-07-07,Ventilador_Norte,111,24,0
2026-07-07,Generador_Respaldo,84,3,0
2026-07-07,Banda_Transportadora,244,15,0
2026-07-08,Motor_Principal,404,21,0
2026-07-08,Compresor_A,378,16,0
2026-07-08,Bomba_Agua,129,23,0
2026-07-08,Ventilador_Norte,112,22,0
2026-07-08,Generador_Respaldo,88,10,0
2026-07-08,Banda_Transportadora,217,18,0
2026-07-09,Motor_Principal,416,24,3
2026-07-09,Compresor_A,282,19,0
2026-07-09,Bomba_Agua,154,23,1
2026-07-09,Ventilador_Norte,103,24,0
2026-07-09,Generador_Respaldo,101,3,0
2026-07-09,Banda_Transportadora,233,16,0
2026-07-10,Motor_Principal,455,19,0
2026-07-10,Compresor_A,275,18,0
2026-07-10,Bomba_Agua,157,24,0
2026-07-10,Ventilador_Norte,97,23,0
2026-07-10,Generador_Respaldo,75,4,0
2026-07-10,Banda_Transportadora,211,17,0
2026-07-11,Motor_Principal,444,20,0
2026-07-11,Compresor_A,367,17,0
2026-07-11,Bomba_Agua,171,24,0
2026-07-11,Ventilador_Norte,116,24,0
2026-07-11,Generador_Respaldo,81,5,0
2026-07-11,Banda_Transportadora,224,13,0
2026-07-12,Motor_Principal,400,21,0
2026-07-12,Compresor_A,343,17,0
2026-07-12,Bomba_Agua,154,24,0
2026-07-12,Ventilador_Norte,124,24,0
2026-07-12,Generador_Respaldo,82,4,0
2026-07-12,Banda_Transportadora,234,16,0
2026-07-13,Motor_Principal,480,19,0
2026-07-13,Compresor_A,263,18,0
2026-07-13,Bomba_Agua,166,23,0
2026-07-13,Ventilador_Norte,117,23,0
2026-07-13,Generador_Respaldo,71,3,0
2026-07-13,Banda_Transportadora,232,20,0
2026-07-14,Motor_Principal,406,19,0
2026-07-14,Compresor_A,333,17,0
2026-07-14,Bomba_Agua,132,22,0
2026-07-14,Ventilador_Norte,112,24,0
2026-07-14,Generador_Respaldo,82,1,0
2026-07-14,Banda_Transportadora,223,17,0
2026-07-15,Motor_Principal,401,20,0
2026-07-15,Compresor_A,336,13,0
